"team.id" "team.name" "team.logo" "league.id" "league.name" "league.country" "league.logo" "league.flag" "league.season" "games.appearences" "games.lineups" "games.minutes" "games.number" "games.position" "games.rating" "games.captain" "substitutes.in" "substitutes.out" "substitutes.bench" "shots.total" "shots.on" "goals.total" "goals.conceded" "goals.assists" "goals.saves" "passes.total" "passes.key" "passes.accuracy" "tackles.total" "tackles.blocks" "tackles.interceptions" "duels.total" "duels.won" "dribbles.attempts" "dribbles.success" "dribbles.past" "fouls.drawn" "fouls.committed" "cards.yellow" "cards.yellowred" "cards.red" "penalty.won" "penalty.commited" "penalty.scored" "penalty.missed" "penalty.saved" "player.id" "player.name" "player.firstname" "player.lastname" "player.age" "player.nationality" "player.height" "player.weight" "player.injured" "player.photo" "player.birth.date" "player.birth.place" "player.birth.country" "id"
"21" 36 "Fulham" "https://media-1.api-sports.io/football/teams/36.png" 40 "Championship" "England" "https://media-1.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 44 44 3837 NA "Attacker" "7.618181" FALSE 0 11 0 162 92 43 0 7 NA 1212 49 20 17 8 5 515 214 63 29 NA 40 48 10 0 0 NA NA 6 1 NA 2825 "A. Mitrović" "Aleksandar" "Mitrović" 29 "Serbia" "189 cm" "89 kg" FALSE "https://media-1.api-sports.io/football/players/2825.png" "1994-09-16" "Smederevo" "Serbia" 1
"22" 35 "Bournemouth" "https://media-1.api-sports.io/football/teams/35.png" 40 "Championship" "England" "https://media.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 46 46 4096 NA "Attacker" "6.982608" FALSE 0 11 0 115 60 29 0 7 NA 820 45 13 17 2 5 546 183 119 50 NA 55 51 6 0 0 NA NA 4 1 NA 18883 "D. Solanke" "Dominic Ayodele" "Solanke-Mitchell" 26 "England" "187 cm" "80 kg" FALSE "https://media.api-sports.io/football/players/18883.png" "1997-09-14" "Reading" "England" 2
"23" 56 "Bristol City" "https://media-2.api-sports.io/football/teams/56.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 46 46 4117 NA "Attacker" "7.055555" FALSE 0 3 0 63 35 22 0 10 NA 933 47 14 35 5 28 276 114 55 27 NA 24 27 7 0 0 NA NA 0 0 NA 19283 "A. Weimann" "Andreas" "Weimann" 32 "Austria" "188 cm" "76 kg" FALSE "https://media.api-sports.io/football/players/19283.png" "1991-08-05" "Wien" "Austria" 3
"24" 76 "Swansea" "https://media-2.api-sports.io/football/teams/76.png" 40 "Championship" "England" "https://media.api-sports.io/football/leagues/40.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 45 40 3491 NA "Attacker" "6.986666" FALSE 5 22 5 76 52 22 0 6 NA 957 27 17 30 1 10 313 109 72 33 NA 24 43 4 0 0 NA NA 1 0 NA 250 "J. Piroe" "Joël Mohammed" "Ramzan Piroe" 24 "Netherlands" "181 cm" NA FALSE "https://media.api-sports.io/football/players/250.png" "1999-08-02" NA "Netherlands" 4
"25" 67 "Blackburn" "https://media-2.api-sports.io/football/teams/67.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 37 34 3067 NA "Attacker" "6.961111" FALSE 3 4 3 86 49 22 0 3 NA 573 24 11 20 2 9 412 149 124 59 NA 47 37 8 0 0 NA NA 4 0 NA 19485 "B. Brereton" "Benjamin Anthony" "Brereton Díaz" 24 "Chile" "185 cm" "80 kg" FALSE "https://media-2.api-sports.io/football/players/19485.png" "1999-04-18" "Stoke-on-Trent" "England" 5
"26" 65 "Nottingham Forest" "https://media.api-sports.io/football/teams/65.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 49 47 4206 NA "Attacker" "7.116666" FALSE 2 12 2 69 41 18 0 10 NA 775 62 11 39 NA 14 376 162 115 55 NA 60 34 3 0 0 NA NA 3 1 NA 129711 "B. Johnson" "Brennan Price" "Johnson" 22 "Wales" "179 cm" "73 kg" FALSE "https://media-1.api-sports.io/football/players/129711.png" "2001-05-23" "Nottingham" "England" 6
"27" 60 "West Brom" "https://media-1.api-sports.io/football/teams/60.png" 40 "Championship" "England" "https://media.api-sports.io/football/leagues/40.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 44 41 3402 NA "Attacker" "6.906976" FALSE 3 19 3 75 45 18 0 5 NA 907 47 14 9 NA 9 364 132 88 38 NA 35 26 2 0 0 NA NA 4 3 NA 19055 "K. Ahearne-Grant" "Karlan Laughton" "Ahearne-Grant" 26 "England" "183 cm" "70 kg" FALSE "https://media-1.api-sports.io/football/players/19055.png" "1997-09-18" "London" "England" 7
"28" 1346 "Coventry" "https://media.api-sports.io/football/teams/1346.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 45 41 3599 NA "Attacker" "6.933333" FALSE 4 10 5 94 62 17 0 5 NA 878 67 13 15 5 4 634 220 174 81 NA 57 34 1 0 0 NA NA 0 1 NA 18979 "V. Gyökeres" "Viktor Einar" "Gyökeres" 25 "Sweden" "187 cm" "86 kg" FALSE "https://media.api-sports.io/football/players/18979.png" "1998-06-04" NA "Sweden" 8
"29" 59 "Preston" "https://media.api-sports.io/football/teams/59.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 44 38 3103 NA "Attacker" "6.911904" FALSE 6 19 6 58 35 16 0 5 NA 673 31 9 27 5 4 455 151 82 33 NA 11 36 4 0 0 NA NA 2 0 NA 15705 "E. Riis" "Emil" "Riis Jakobsen" 25 "Denmark" "190 cm" NA FALSE "https://media-2.api-sports.io/football/players/15705.png" "1998-06-24" "Hobro" "Denmark" 9
"30" 1359 "Luton" "https://media-1.api-sports.io/football/teams/1359.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media-2.api-sports.io/flags/gb.svg" 2021 41 38 3379 NA "Attacker" "6.807500" FALSE 3 11 3 53 32 16 0 4 NA 625 27 8 34 4 15 773 292 133 43 NA 51 75 6 0 0 NA NA 3 2 NA 17641 "E. Adebayo" "Elijah" "Adebayo" 25 "England" "193 cm" "89 kg" FALSE "https://media-2.api-sports.io/football/players/17641.png" "1998-01-07" "London" "England" 10
"31" 37 "Huddersfield" "https://media-2.api-sports.io/football/teams/37.png" 40 "Championship" "England" "https://media-2.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 43 40 3060 NA "Attacker" "6.933333" FALSE 3 26 3 64 36 14 0 3 NA 567 19 9 15 4 6 329 122 36 23 NA 13 23 1 0 0 NA NA 0 1 NA 19010 "D. Ward" "Danny" "Ward" 33 "England" "180 cm" "88 kg" FALSE "https://media-1.api-sports.io/football/players/19010.png" "1990-12-09" "Bradford" "England" 11
"32" 62 "Sheffield Utd" "https://media.api-sports.io/football/teams/62.png" 40 "Championship" "England" "https://media-1.api-sports.io/football/leagues/40.png" "https://media.api-sports.io/flags/gb.svg" 2021 39 30 2698 NA "Attacker" "6.923076" FALSE 9 14 9 53 30 14 0 7 NA 531 33 9 12 1 4 291 109 36 16 NA 43 45 4 0 0 NA NA 3 1 NA 19109 "B. Sharp" "Billy Louis" "Sharp" 37 "England" "175 cm" "70 kg" FALSE "https://media-1.api-sports.io/football/players/19109.png" "1986-02-05" "Sheffield" "England" 12
"33" 75 "Stoke City" "https://media-1.api-sports.io/football/teams/75.png" 40 "Championship" "England" "https://media.api-sports.io/football/leagues/40.png" "https://media-1.api-sports.io/flags/gb.svg" 2021 45 38 3261 NA "Attacker" "6.870454" FALSE 7 19 7 62 31 13 0 4 NA 712 18 11 44 5 17 578 250 66 30 NA 64 48 8 0 0 NA NA 0 0 NA 19802 "J. Brown" "Jacob Samuel" "Brown" 25 "Scotland" "178 cm" "62 kg" FALSE "https://media.api-sports.io/football/players/19802.png" "1998-04-10" "Halifax" "England" 13
